6.8	-0.05	401	-0.2	-0.1	500
6.59	-0.21	464	-0.1	0.1	700
6.59	0	703	-0.1	0.1	900
6.5	-0.09	797	0.1	0.1	700
6.48	-0.02	717	-0.1	0.1	700
6.54	0.06	706	-0.2	0.1	800
6.45	-0.09	784	0	0.1	800
6.45	0	794	-0.2	0.1	800
6.2	-0.25	792	0	0	1000
6.02	-0.18	1211	0	0.1	1400
5.8	-0.22	1557	-0.2	0	1600
5.51	-0.29	1782	-0.1	0	1900
5.43	-0.08	2206	-0.1	0.1	2300
5.44	0.01	2404	-0.1	-0.1	2500
5.51	0.07	2685	0.1	0	2800
5.62	0.11	3562	-0.4	0.1	3700
5.77	0.15	3629	-0.1	0	3800
5.94	0.17	3701	-0.2	0.1	3800
5.97	0.03	3775	-0.1	0	3800
6.02	0.05	3829	-0.1	-0.1	3900
5.99	-0.03	3896	0.2	-0.1	3900
5.82	-0.17	3920	0.2	-0.1	3900
5.79	-0.03	3895	0	-0.1	3900
5.65	-0.14	3887	-0.1	0	3900
5.48	-0.17	3930	0.2	0	4000
5.24	-0.24	4048	0.1	0	4400
5.04	-0.2	4448	0	0	4700
4.81	-0.23	4462	0	0.1	4900
4.62	-0.19	5078	-0.3	0.3	5200
4.61	-0.01	5284	-0.1	0.2	5400
4.54	-0.07	5225	-0.3	0.1	5600
4.71	0.17	5391	-0.1	0	6000
4.72	0.01	5668	0	-0.1	6000
4.58	-0.14	5844	-0.2	0.1	6100
4.55	-0.03	6068	-0.2	0	6400
4.59	0.04	6250	-0.2	-0.1	6400
4.65	0.06	6358	-0.1	-0.1	6400
4.7	0.05	6368	-0.1	0	6400
4.81	0.11	6379	-0.3	0	6400
4.84	0.03	6412	-0.1	-0.1	6400
4.83	-0.01	6416	0.1	-0.1	6500
4.76	-0.07	6514	0	0	6600
4.77	0.01	6587	-0.1	0.1	6600
4.77	0	6569	0	-0.1	6600
4.77	0	6559	0	0	6700
4.73	-0.04	6672	0	0	6700
4.73	0	6844	-0.1	0	6800
4.74	0.01	6775	-0.2	0	6800
4.77	0.03	6779	0	-0.1	6800
4.71	-0.06	6783	0	0	6800
4.66	-0.05	6816	0	0	6800
4.7	0.04	6812	0	0	6800
4.63	-0.07	6849	0	0	6800
4.61	-0.02	6803	0	0	6800
4.57	-0.04	6832	0	0.1	6800
4.56	-0.01	6832	-0.1	0.1	6900
4.54	-0.02	6862	-0.1	-0.1	7000
4.51	-0.03	6958	0.1	-0.1	7000
4.47	-0.04	6998	0	0.1	7000
4.47	0	6986	-0.1	0.1	7000
4.48	0.01	6975	0	0	7000
4.48	0	6973	0	0	7000
4.5	0.02	7006	0	0.1	7000
4.5	0	7027	0	0	7000
4.48	-0.02	7032	0	0	7000
4.54	0.06	6995	0	0	7000
4.57	0.03	6986	0.1	-0.1	7000
4.56	-0.01	7009	-0.1	0.1	7000
4.56	0	7022	0	0	7000
4.57	0.01	6998	-0.1	0	7000
